date,assets,portfolio_total_capital
2024-02-17,"['2331', '9626', '2333', '3690', '2057']",97401.03296722597
2024-02-18,"['2331', '9626', '2333', '3690', '2057']",97401.03296722597
2024-02-19,"['2331', '9626', '2333', '3690', '2057']",93386.03296722597
2024-02-20,"['2331', '9626', '3690', '2057', '0270']",93341.53790129152
2024-02-21,"['2331', '9626', '3690', '2057', '0270']",96901.53790129152
2024-02-22,"['2331', '9626', '3690', '2057', '0270']",97836.53790129152
2024-02-23,"['2331', '3690', '2057', '0270', '1066']",97408.25182548894
2024-02-24,"['2331', '3690', '2057', '0270', '1066']",97408.25182548894
2024-02-25,"['2331', '3690', '2057', '0270', '1066']",97408.25182548894
2024-02-26,"['3690', '2057', '0270', '1066', '2269']",96519.67392183797
2024-02-27,"['3690', '2057', '1066', '2269', '0268']",97138.5731739943
2024-02-28,"['3690', '2269', '0268', '0020']",94934.7131008203
2024-02-29,"['3690', '2269', '0268']",96264.7131008203
2024-03-01,"['3690', '2269', '0268', '9868']",97505.89188771948
2024-03-02,"['3690', '2269', '0268', '9868']",97505.89188771948
2024-03-03,"['3690', '2269', '0268', '9868']",97505.89188771948
2024-03-04,"['3690', '2269']",99465.89188771948
2024-03-05,"['3690', '2269']",97375.89188771948
2024-03-06,"['3690', '2269']",99655.89188771948
2024-03-07,['3690'],94325.89188771948
2024-03-08,[],94185.89188771948
2024-03-09,[],94185.89188771948
2024-03-10,[],94185.89188771948
2024-03-11,[],94185.89188771948
2024-03-12,[],94185.89188771948
2024-03-13,[],94185.89188771948
2024-03-14,[],94185.89188771948
2024-03-15,[],94185.89188771948
2024-03-16,[],94185.89188771948
2024-03-17,[],94185.89188771948
2024-03-18,[],94185.89188771948
2024-03-19,[],94185.89188771948
2024-03-20,[],94185.89188771948
2024-03-21,[],94185.89188771948
2024-03-22,[],94185.89188771948
2024-03-23,[],94185.89188771948
2024-03-24,[],94185.89188771948
2024-03-25,[],94185.89188771948
2024-03-26,[],94185.89188771948
2024-03-27,[],94185.89188771948
2024-03-28,[],94185.89188771948
2024-03-29,[],94185.89188771948
2024-03-30,[],94185.89188771948
2024-03-31,[],94185.89188771948
2024-04-01,[],94185.89188771948
2024-04-02,[],94185.89188771948
2024-04-03,[],94185.89188771948
2024-04-04,[],94185.89188771948
2024-04-05,[],94185.89188771948
2024-04-06,[],94185.89188771948
2024-04-07,[],94185.89188771948
2024-04-08,[],94185.89188771948
