date,assets,portfolio_total_capital
2024-02-25,"['2331', '3690', '1066']",104467.21331121372
2024-02-26,"['3690', '1066', '2269']",102456.03848459129
2024-02-27,"['3690', '1066', '2269']",103338.03848459129
2024-02-28,"['3690', '2269', '0020']",100135.5904076221
2024-02-29,"['3690', '2269']",102020.5904076221
2024-03-01,"['3690', '2269', '9868']",105808.20722680686
2024-03-02,"['3690', '2269', '9868']",105808.20722680686
2024-03-03,"['3690', '2269', '9868']",105808.20722680686
2024-03-04,"['3690', '2269']",111038.20722680686
2024-03-05,"['3690', '2269']",106343.20722680686
2024-03-06,"['3690', '2269']",111138.20722680686
2024-03-07,['3690'],100148.20722680686
2024-03-08,[],99798.20722680686
2024-03-09,[],99798.20722680686
2024-03-10,[],99798.20722680686
2024-03-11,[],99798.20722680686
2024-03-12,[],99798.20722680686
2024-03-13,[],99798.20722680686
2024-03-14,[],99798.20722680686
2024-03-15,[],99798.20722680686
2024-03-16,[],99798.20722680686
2024-03-17,[],99798.20722680686
2024-03-18,[],99798.20722680686
2024-03-19,[],99798.20722680686
2024-03-20,[],99798.20722680686
2024-03-21,[],99798.20722680686
2024-03-22,[],99798.20722680686
2024-03-23,[],99798.20722680686
2024-03-24,[],99798.20722680686
2024-03-25,[],99798.20722680686
2024-03-26,[],99798.20722680686
2024-03-27,[],99798.20722680686
2024-03-28,[],99798.20722680686
2024-03-29,[],99798.20722680686
2024-03-30,[],99798.20722680686
2024-03-31,[],99798.20722680686
2024-04-01,[],99798.20722680686
2024-04-02,[],99798.20722680686
2024-04-03,[],99798.20722680686
2024-04-04,[],99798.20722680686
2024-04-05,[],99798.20722680686
2024-04-06,[],99798.20722680686
2024-04-07,[],99798.20722680686
2024-04-08,[],99798.20722680686
2024-04-09,['1821'],99739.17442198898
2024-04-10,['1821'],100147.174421989
2024-04-11,"['1821', '2382', '9868']",99990.25880507186
2024-04-12,"['1821', '2382']",98044.25880507186
2024-04-13,"['1821', '2382']",98044.25880507186
2024-04-14,"['1821', '2382']",98044.25880507186
2024-04-15,[],96281.25880507186
2024-04-16,[],96281.25880507186
2024-04-17,[],96281.25880507186
2024-04-18,[],96281.25880507186
2024-04-19,[],96281.25880507186
2024-04-20,[],96281.25880507186
2024-04-21,[],96281.25880507186
2024-04-22,[],96281.25880507186
2024-04-23,[],96281.25880507186
2024-04-24,"['1299', '1876', '6618']",96092.79026433881
2024-04-25,"['1299', '1876', '6618']",96337.7902643388
2024-04-26,"['1299', '1876', '6618']",100339.79026433881
2024-04-27,"['1299', '1876', '6618']",100339.79026433881
2024-04-28,"['1299', '1876', '6618']",100339.79026433881
2024-04-29,"['1299', '1876', '6618']",103511.7902643388
2024-04-30,"['1299', '1876', '6618']",102760.7902643388
2024-05-01,"['1299', '1876', '6618']",102760.7902643388
2024-05-02,"['1299', '1876', '6618']",107894.79026433881
2024-05-03,"['1299', '1876', '6618']",109589.79026433881
2024-05-04,"['1299', '1876', '6618']",109589.79026433881
2024-05-05,"['1299', '1876', '6618']",109589.79026433881
2024-05-06,"['1299', '1876', '6618']",109517.79026433881
2024-05-07,"['1299', '1876', '6618']",108299.79026433881
2024-05-08,"['1299', '6618', '2382']",106154.51212381013
2024-05-09,"['1299', '6618', '2382']",110004.51212381013
2024-05-10,"['1299', '2382', '2269']",109437.27113956251
2024-05-11,"['1299', '2382', '2269']",109437.27113956251
2024-05-12,"['1299', '2382', '2269']",109437.27113956251
2024-05-13,['1299'],108317.27113956251
2024-05-14,['1299'],107717.27113956251
2024-05-15,['1299'],107717.27113956251
2024-05-16,['1299'],107837.27113956251
2024-05-17,['1299'],108677.27113956251
2024-05-18,['1299'],108677.27113956251
2024-05-19,['1299'],108677.27113956251
2024-05-20,['1299'],108617.27113956251
2024-05-21,[],107617.27113956251
2024-05-22,[],107617.27113956251
2024-05-23,[],107617.27113956251
2024-05-24,[],107617.27113956251
2024-05-25,[],107617.27113956251
2024-05-26,[],107617.27113956251
2024-05-27,[],107617.27113956251
2024-05-28,[],107617.27113956251
2024-05-29,[],107617.27113956251
2024-05-30,[],107617.27113956251
2024-05-31,[],107617.27113956251
2024-06-01,[],107617.27113956251
2024-06-02,[],107617.27113956251
2024-06-03,[],107617.27113956251
2024-06-04,[],107617.27113956251
2024-06-05,[],107617.27113956251
2024-06-06,[],107617.27113956251
2024-06-07,[],107617.27113956251
2024-06-08,[],107617.27113956251
2024-06-09,[],107617.27113956251
2024-06-10,[],107617.27113956251
2024-06-11,[],107617.27113956251
2024-06-12,['2269'],107557.2599588028
2024-06-13,[],107037.2599588028
2024-06-14,['2269'],106977.6354521636
